event_id,event_name
680,"Cycling Men's 12-Hours Race"
681,"Swimming Men's 500 metres Freestyle"
682,"Helsinki"
683,"Weightlifting Men's All-Around Dumbbell Contest"
684,"Short Track Speed Skating"
685,"Ski Jumping"
686,"Mexico City"
687,"Tokyo"
688,"Aeronautics Mixed Aeronautics"
689,"Innsbruck"
690,"Grenoble"
691,"Skeleton"
692,"Badminton"
693,"Cortina d'Ampezzo"
694,"Cricket"
695,"Archery Men's Championnat Du Monde"
696,"Roma"
697,"Antwerpen"
