team_id,team_name
1182,"Astrid III"
1183,"Kln"
1184,"Demi-Mondaine-15"
1185,"Demi-Mondaine-17"
1186,"Nokaut II"
1187,"Almaz"
1188,"Tulilind"
1189,"New Zealand-2"
1190,"Notavel"
1191,"Galopin De La Font"
1192,"Margaret"
1193,"Portugal-1"
1194,"Comanche"
1195,78.5
1196,104
1197,"Cicely-1"
1198,"Ma'Lindo"
1199,"Harmony"
1200,55.5
1201,"Independent Rowing Club-3"
1202,"Marie-Tim"
1203,"Uzbekistan-1"
1204,116
1205,"Orion"
1206,"Tineke"
1207,"Merope"
1208,"Scaup"
1209,"Legionario"
1210,"Merope III"
1211,"Enotria"
1212,"Verveine-41"
1213,"Verveine-19"
1214,"Puerto Rico-1"
1215,"Ariette-8"
1216,"Ariette-10"
1217,"United States-6"
1218,"Greenoaks Dundee"
1219,"Fantlet-2"
1220,"Fantlet-7"
1221,"Maid of Lebanon"
1222,"Danaldo"
1223,"Lyn-2"
1224,"Sunrise"
1225,"Complex II"
1226,"Falcon IV"
1227,"Potsdam"
1228,"Giselle-6"
1229,"United States-13"
1230,"China-3"
1231,"Ardilla"
1232,"Greece-4"
1233,"Windor"
1234,"Vim III"
1235,"Lasha"
1236,"Hilarius"
1237,40
1238,"Hakahana"
1239,"Jamaica-1"
1240,106
1241,102
1242,"Squid III"
1243,"Singapore-1"
1244,"Mamie-4"
1245,"C.V.A.-14"
1246,"Singy-37"
1247,"C.V.A.-7"
1248,"Mamie-6"
1249,"Singy-7"
1250,"Hamburg"
1251,"Mac Miche"
1252,"Camille"
1253,"Serbia-1"
1254,"Cuxhaven"
1255,"Formosa"
1256,"Danzig"
1257,"Salinero"
1258,"Sjovinge"
1259,"Brandenburg"
1260,"Hungary-3"
1261,"Bohemia/Great Britain"
1262,"Freia-19"
1263,"Freia-5"
1264,"Luxembourg-1"
1265,"Satchmo"
1266,"Sea Dog-2"
1267,171
1268,"Mainz"
1269,"Solos Carex"
1270,169
1271,"Dow Jones"
1272,"Digby"
